actions,calories,carbs,fat,name,restaurant
http://chubbygrub.com/food/whole-grain/,340,67,2.5,Whole Grain,Panera Bread
http://chubbygrub.com/food/whole-grain-baguette/,140,29,1,Whole Grain Baguette,Panera Bread
http://chubbygrub.com/food/whole-grain-loaf/,130,27,1,Whole Grain Loaf,Panera Bread
http://chubbygrub.com/food/whole-grain-miche/,130,26,1,Whole Grain Miche,Panera Bread
http://chubbygrub.com/food/strawberry-biscuit/,380,,13,Strawberry Biscuit,Carl's Jr.
http://chubbygrub.com/food/sunrise-subway-melt-with-egg-white-3-flatbread/,220,23,8,Sunrise Subway Melt® (with Egg White) 3″ Flatbread,Subway
http://chubbygrub.com/food/sunrise-subway-melt-3-flatbread/,240,23,10,Sunrise Subway Melt® 3″ Flatbread,Subway
http://chubbygrub.com/food/sweet-onion-and-poppyseed-with-steak/,670,73,26,Sweet Onion & Poppyseed with Steak,Panera Bread
http://chubbygrub.com/food/the-commuter-croissant-egg-whites/,600,600,600,The Commuter Croissant (Egg Whites),Corner Bakery Cafe
http://chubbygrub.com/food/the-commuter-croissant-whole-eggs/,680,43,44,The Commuter Croissant (Whole Eggs),Corner Bakery Cafe
http://chubbygrub.com/food/10-piece-chicken-nuggets/,450,24,30,10-piece Chicken Nuggets,Wendy's
